symbol,date,total_events,duplicate_trades,missing_active_order_id,missing_book_rows,locked_book_rows,crossed_book_rows,invalid_chain_seconds,book_sign_flips,factor_version
SZ000001,20260122,29884,0,0,0,5345,2409,0.0,13,non_parent_window_path_1000_1030_v1_20260810
SZ000001,20260123,24678,0,0,0,3948,1247,0.0,0,non_parent_window_path_1000_1030_v1_20260810
SZ000001,20260126,38176,0,0,0,6741,1227,0.0,49,non_parent_window_path_1000_1030_v1_20260810
SZ000001,20260127,27964,0,0,0,6428,1376,0.0,3,non_parent_window_path_1000_1030_v1_20260810
SZ000001,20260128,29991,0,0,0,5514,1893,0.0,35,non_parent_window_path_1000_1030_v1_20260810
SZ000001,20260129,28946,0,0,0,6096,1902,0.0,124,non_parent_window_path_1000_1030_v1_20260810
SZ000001,20260130,41905,0,0,0,8383,1492,0.0,2,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260105,43018,0,0,0,9725,937,0.0,10,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260106,34320,0,0,0,7325,1308,0.0,17,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260107,32053,0,0,0,8110,693,0.0,0,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260108,19551,0,0,0,3993,595,0.0,15,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260109,31068,0,0,0,7759,809,0.0,14,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260112,30596,0,0,0,6771,436,0.0,0,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260113,47486,0,0,0,6558,404,0.0,31,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260114,26219,0,0,0,5387,860,0.0,8,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260115,23781,0,0,0,5196,492,0.0,2,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260116,29449,0,0,0,6761,1734,0.0,0,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260119,21482,0,0,0,3932,885,0.0,52,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260120,35101,0,0,0,6275,980,0.0,34,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260121,48475,0,0,0,10331,768,0.0,53,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260122,56177,0,0,0,12763,2747,0.0,174,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260123,35260,0,0,0,6504,1515,0.0,8,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260126,48886,0,0,0,12877,1484,0.0,2,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260127,43361,0,0,0,10658,1358,0.0,0,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260128,28922,0,0,0,5810,1064,0.0,19,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260129,129911,0,0,0,30459,4511,0.0,30,non_parent_window_path_1000_1030_v1_20260810
SZ000002,20260130,67654,0,0,0,17614,1846,0.0,2,non_parent_window_path_1000_1030_v1_20260810
