symbol,date,frequency,window_name,window_start,window_end,start_mid,end_mid,window_return,threshold_history_days,threshold_history_order_count,threshold_mean_qty,threshold_p80_qty,threshold_p90_qty,mean_x05_buy_exec_qty,mean_x05_sell_exec_qty,mean_x05_buy_order_count,mean_x05_sell_order_count,mean_x05_alf,mean_x10_buy_exec_qty,mean_x10_sell_exec_qty,mean_x10_buy_order_count,mean_x10_sell_order_count,mean_x10_alf,p80_buy_exec_qty,p80_sell_exec_qty,p80_buy_order_count,p80_sell_order_count,p80_alf,p90_buy_exec_qty,p90_sell_exec_qty,p90_buy_order_count,p90_sell_order_count,p90_alf,fixed_notional_buy_exec_qty,fixed_notional_sell_exec_qty,fixed_notional_buy_order_count,fixed_notional_sell_order_count,fixed_notional_alf,window_events,trade_events,order_add_events,cancel_events,active_order_count,split_active_order_count,trade_before_add_count,fully_immediate_order_count,full_link_trade_count,partial_link_trade_count,missing_aggressor_id_count,invalid_volume_count,valid_book_events,invalid_book_events,fixed_notional,is_valid,invalid_reason,factor_version
SH600000,20250801,daily,daily_0930_close,93000000,145700000,12.815,12.925,0.008583690987124637,20,1974758,2383.2208609865106,2000.0,5000.0,34796669.0,36367868.0,4461,5109,-0.022078398402282866,32150526.0,33015652.0,2823,3052,-0.013275690343539865,33020167.0,34120601.0,3256,3594,-0.016389952524820686,28803843.0,28705910.0,1825,1709,0.0017028937682970053,5491801.0,6733058.0,44,46,-0.1015354860125585,133950,57566,55472,20912,28614,6511,1128,27486,6687,50879,0,0,133950,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH600000,20250801,daily,daily_1000_close,100000000,145700000,12.605,12.925,0.025386751289171006,20,1974758,2383.2208609865106,2000.0,5000.0,26992093.0,25503728.0,3505,3969,0.028352066348290846,24896670.0,22775682.0,2203,2286,0.04449094519187977,25549391.0,23661861.0,2527,2723,0.038355658986282244,22291907.0,19529410.0,1433,1270,0.06605475862943293,4095101.0,3584900.0,31,27,0.0664324132249462,102566,44462,41834,16270,28614,6511,1128,27486,4922,39540,0,0,102566,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH600000,20250804,daily,daily_0930_close,93000000,145700000,12.905,13.145,0.018597442851608026,20,1949288,2411.236254981306,2000.0,5000.0,49389562.0,37093731.0,7973,5925,0.14217579573432756,44053137.0,32655702.0,4860,3339,0.14858046541416173,46047442.0,34633002.0,5816,4289,0.141477158950687,35082044.0,27740944.0,2219,1812,0.11685372239855894,8233358.0,5053213.0,60,44,0.23935031845312082,197834,91915,80058,25861,46134,11472,1457,44677,7330,84585,0,0,197834,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH600000,20250804,daily,daily_1000_close,100000000,145700000,13.385,13.145,-0.01793051923795297,20,1949288,2411.236254981306,2000.0,5000.0,21318972.0,23663312.0,4032,3950,-0.05211696231342988,18558647.0,20609053.0,2406,2161,-0.0523494103559821,19577652.0,21872053.0,2899,2759,-0.05535385595627279,13730908.0,17315931.0,1026,1131,-0.11547143333979991,2235497.0,2856000.0,18,27,-0.12187044399711912,126901,59028,50344,17529,46134,11472,1457,44677,4652,54376,0,0,126901,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH600000,20250805,daily,daily_0930_close,93000000,145700000,13.145,13.765,0.047166222898440635,20,1981635,2421.602317278409,2000.0,5000.0,68160519.0,48234249.0,6793,6169,0.1711955815745945,63583927.0,44352530.0,4134,3942,0.17817332099385105,65426205.0,46185941.0,5013,4830,0.17238503773594677,58471019.0,38866037.0,2610,2250,0.20141334457454724,24006518.0,11098376.0,157,81,0.3677020645611407,229182,104663,90405,34114,55112,9554,1452,53660,10311,94352,0,0,229182,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH600000,20250805,daily,daily_1000_close,100000000,145700000,13.415,13.765,0.02609019754006714,20,1981635,2421.602317278409,2000.0,5000.0,57087549.0,41656342.0,5453,5209,0.15627505503099934,53237457.0,38484903.0,3206,3386,0.16083923265820896,54756635.0,39956024.0,3933,4096,0.1562685617347096,49229257.0,33667655.0,2009,1903,0.1877223363881154,22412618.0,10310476.0,145,76,0.36983489397426783,193100,88820,74641,29639,55112,9554,1452,53660,8816,80004,0,0,193100,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
